noise,constraint_complexity,mutual_complexity,soft,seq_length,num_constraints,num_examples,perceptron
False,1,0,False,10,0,100,0.885
False,1,0,False,20,0,100,0.8865
False,1,0,False,10,0,200,0.943
False,1,0,False,10,0,300,0.951
False,1,0,False,20,0,200,0.896
False,12.1580346428,1.21580346428,False,10,5,100,0.905
False,1,0,False,10,0,400,0.932
False,1,0,False,20,0,300,0.927
False,1,0,False,10,0,500,0.949
False,22.8548992523,2.28548992523,False,10,10,100,0.9
False,23.4272148909,1.17136074455,False,20,5,100,0.8695
False,8.61332497954,0.861332497954,False,10,5,200,0.928
False,1,0,False,20,0,400,0.921
False,1,0,False,10,0,600,0.965
False,1,0,False,10,0,700,0.963
False,1,0,False,20,0,500,0.9295
False,10.3479260349,1.03479260349,False,10,5,300,0.913
False,43.2109366325,2.16054683163,False,20,10,100,0.8385
False,1,0,False,10,0,800,0.964
False,42.388864273,4.2388864273,False,10,20,100,0.892
False,1,0,False,20,0,600,0.9345
False,24.9880524683,1.24940262341,False,20,5,200,0.8955
False,18.036758567,1.8036758567,False,10,10,200,0.896
False,1,0,False,10,0,900,0.958
False,1,0,False,20,0,700,0.9315
False,12.2076902333,1.22076902333,False,10,5,400,0.942
False,1,0,False,10,0,1000,0.964
False,61.4703788237,6.14703788237,False,10,30,100,0.908
False,1,0,False,20,0,800,0.936
False,12.8982899014,0.644914495069,False,20,5,300,0.916
False,1,0,False,10,0,1100,0.97
False,21.5829217189,2.15829217189,False,10,10,300,0.951
False,10.3479260349,1.03479260349,False,10,5,500,0.95
False,84.6274256889,4.23137128445,False,20,20,100,0.8435
False,1,0,False,20,0,900,0.947
False,49.3138862599,2.46569431299,False,20,10,200,0.894
False,1,0,False,10,0,1200,0.971
False,35.6627572875,3.56627572875,False,10,20,200,0.905
False,9.71193726821,0.971193726821,False,10,5,600,0.946
False,1,0,False,20,0,1000,0.949
False,1,0,False,10,0,1300,0.958
False,21.634264881,1.08171324405,False,20,5,400,0.9145
False,22.9318602935,2.29318602935,False,10,10,400,0.939
False,1,0,False,10,0,1400,0.979
False,1,0,False,20,0,1100,0.9465
False,11.4947404254,1.14947404254,False,10,5,700,0.939
False,131.4108513,6.57054256498,False,20,30,100,0.8415
False,1,0,False,10,0,1500,0.981
False,1,0,False,20,0,1200,0.9435
False,17.4404019514,0.87202009757,False,20,5,500,0.928
False,41.3435530778,2.06717765389,False,20,10,300,0.9185
False,18.6742008223,1.86742008223,False,10,10,500,0.966
False,9.71193726821,0.971193726821,False,10,5,800,0.954
False,54.0499079177,5.40499079177,False,10,30,200,0.954
False,1,0,False,10,0,1600,0.965
False,1,0,False,20,0,1300,0.9555
False,39.1319593983,3.91319593983,False,10,20,300,0.911
False,1,0,False,10,0,1700,0.981
False,11.0881812935,1.10881812935,False,10,5,900,0.951
False,1,0,False,20,0,1400,0.9545
False,24.6596733142,1.23298366571,False,20,5,600,0.9225
False,17.4504253907,1.74504253907,False,10,10,600,0.944
False,83.2097458851,4.16048729425,False,20,20,200,0.8975
False,1,0,False,10,0,1800,0.976
False,1,0,False,20,0,1500,0.9535
False,12.8709844507,1.28709844507,False,10,5,1000,0.96
False,44.011813809,2.20059069045,False,20,10,400,0.901
False,1,0,False,10,0,1900,0.973
False,22.2367387585,1.11183693793,False,20,5,700,0.9245
False,23.1650541806,2.31650541806,False,10,10,700,0.968
False,1,0,False,20,0,1600,0.952
False,42.8032856931,4.28032856931,False,10,20,400,0.935
False,10.3479260349,1.03479260349,False,10,5,1100,0.97
False,1,0,False,10,0,2000,0.971
False,59.5142104217,5.95142104217,False,10,30,300,0.922
False,1,0,False,20,0,1700,0.953
False,15.9740648826,0.79870324413,False,20,5,800,0.92
False,10.2997239331,1.02997239331,False,10,5,1200,0.962
False,20.7944643585,2.07944643585,False,10,10,800,0.949
False,33.0364163712,1.65182081856,False,20,10,500,0.908
False,1,0,False,20,0,1800,0.964
False,125.109374245,6.25546871225,False,20,30,200,0.8995
False,12.7954768982,1.27954768982,False,10,5,1300,0.95
False,39.8449092061,3.98449092061,False,10,20,500,0.956
False,80.8919018833,4.04459509417,False,20,20,300,0.914
False,20.7171267759,1.0358563388,False,20,5,900,0.939
False,1,0,False,20,0,1900,0.9585
False,22.122506282,2.2122506282,False,10,10,900,0.956
False,11.0608758428,1.10608758428,False,10,5,1400,0.965
False,1,0,False,20,0,2000,0.956
False,41.0084270118,2.05042135059,False,20,10,600,0.9385
False,22.6853768816,1.13426884408,False,20,5,1000,0.9445
False,62.0869244279,6.20869244279,False,10,30,400,0.933
False,21.1972592381,2.11972592381,False,10,10,1000,0.955
False,9.20111164444,0.920111164444,False,10,5,1500,0.956
False,37.3218507904,3.73218507904,False,10,20,600,0.954
False,25.4434375033,1.27217187517,False,20,5,1100,0.927
False,11.0112202523,1.10112202523,False,10,5,1600,0.964
False,23.3175227743,2.33175227743,False,10,10,1100,0.963
False,46.6239929822,2.33119964911,False,20,10,700,0.9215
False,77.3529189548,3.86764594774,False,20,20,400,0.9055
False,11.6472090191,1.16472090191,False,10,5,1700,0.981
False,44.9235492293,4.49235492293,False,10,20,700,0.955
False,16.2387574368,0.811937871841,False,20,5,1200,0.9345
False,60.2271602295,6.02271602295,False,10,30,500,0.946
False,22.0182397901,2.20182397901,False,10,10,1200,0.968
False,107.876378906,5.39381894531,False,20,30,300,0.899
False,10.9357126998,1.09357126998,False,10,5,1800,0.962
False,41.6996267721,2.08498133861,False,20,10,800,0.9145
False,22.2500588104,1.11250294052,False,20,5,1300,0.9385
False,19.8979762539,1.98979762539,False,10,10,1300,0.967
False,10.9357126998,1.09357126998,False,10,5,1900,0.979
False,43.6997737977,4.36997737977,False,10,20,800,0.958
False,69.2677957191,3.46338978596,False,20,20,500,0.901
False,10.2997239331,1.02997239331,False,10,5,2000,0.963
False,42.3688234889,2.11844117444,False,20,10,900,0.931
False,24.8163613234,1.24081806617,False,20,5,1400,0.942
False,22.1707083838,2.21707083838,False,10,10,1400,0.966
False,56.8076137092,5.68076137092,False,10,30,600,0.952
False,41.5313081597,4.15313081597,False,10,20,900,0.925
False,16.3141632677,0.815708163385,False,20,5,1500,0.9435
False,17.4022232889,1.74022232889,False,10,10,1500,0.971
False,41.3993641635,2.06996820818,False,20,10,1000,0.942
False,107.514030519,5.37570152593,False,20,30,400,0.879
False,16.8525135649,0.842625678243,False,20,5,1600,0.936
False,80.0392593928,4.00196296964,False,20,20,600,0.929
False,17.5259329432,1.75259329432,False,10,10,1600,0.966
False,64.1589858623,6.41589858623,False,10,30,700,0.951
False,41.3672130255,4.13672130255,False,10,20,1000,0.957
False,39.1664215036,1.95832107518,False,20,10,1100,0.9155
False,16.8249888915,0.841249444573,False,20,5,1700,0.929
False,20.9469329522,2.09469329522,False,10,10,1700,0.981
False,9.83710041116,0.491855020558,False,20,5,1800,0.949
False,41.4255881792,4.14255881792,False,10,20,1100,0.949
False,21.5074141664,2.15074141664,False,10,10,1800,0.964
False,35.334187784,1.7667093892,False,20,10,1200,0.9425
False,60.1984012902,6.01984012902,False,10,30,800,0.944
False,79.0069875367,3.95034937684,False,20,20,700,0.913
False,103.122901968,5.15614509842,False,20,30,500,0.911
False,16.4058115215,0.820290576074,False,20,5,1900,0.951
False,20.4088018777,2.04088018777,False,10,10,1900,0.965
False,42.601161509,4.2601161509,False,10,20,1200,0.96
False,43.9296610662,2.19648305331,False,20,10,1300,0.9385
False,17.5018223834,0.875091119171,False,20,5,2000,0.945
False,19.0886222425,1.90886222425,False,10,10,2000,0.938
False,61.5278967023,6.15278967023,False,10,30,900,0.958
False,81.1410448805,4.05705224403,False,20,20,800,0.9145
False,37.4470139333,3.74470139333,False,10,20,1300,0.971
False,39.6876132028,1.98438066014,False,20,10,1400,0.942
False,112.549046231,5.62745231155,False,20,30,600,0.913
False,60.0630650953,6.00630650953,False,10,30,1000,0.958
False,42.726324652,4.2726324652,False,10,20,1400,0.967
False,35.1745914089,1.75872957045,False,20,10,1500,0.9395
False,82.815789662,4.1407894831,False,20,20,900,0.9415
False,32.5265890729,1.62632945365,False,20,10,1600,0.9425
False,40.3075327281,4.03075327281,False,10,20,1500,0.948
False,61.8560413045,6.18560413045,False,10,30,1100,0.954
False,26.7607015913,1.33803507956,False,20,10,1700,0.939
False,70.8489794081,3.5424489704,False,20,20,1000,0.9475
False,116.55556137,5.82777806851,False,20,30,700,0.9275
False,36.809571678,3.6809571678,False,10,20,1600,0.973
False,60.1984012902,6.01984012902,False,10,30,1200,0.972
False,26.3415242213,1.31707621107,False,20,10,1800,0.95
False,40.2305716869,4.02305716869,False,10,20,1700,0.97
False,70.7659167023,3.53829583511,False,20,20,1100,0.93
False,59.1767500427,5.91767500427,False,10,30,1300,0.945
False,109.50031244,5.475015622,False,20,30,800,0.9175
False,37.3854031518,1.86927015759,False,20,10,1900,0.94
False,41.176715382,4.1176715382,False,10,20,1800,0.971
False,73.5575033649,3.67787516825,False,20,20,1200,0.9465
False,36.5410694509,1.82705347255,False,20,10,2000,0.9395
False,42.2154990282,4.22154990282,False,10,20,1900,0.971
False,60.3523233725,6.03523233725,False,10,30,1400,0.967
False,119.054333567,5.95271667833,False,20,30,900,0.942
False,41.4831060579,4.14831060579,False,10,20,2000,0.968
False,76.2765393049,3.81382696524,False,20,20,1300,0.93
False,59.4660083199,5.94660083199,False,10,30,1500,0.96
False,55.5054237478,5.55054237478,False,10,30,1600,0.947
False,78.5209480874,3.92604740437,False,20,20,1400,0.9405
False,103.281376445,5.16406882223,False,20,30,1000,0.9205
False,58.9264237568,5.89264237568,False,10,30,1700,0.966
False,63.35985955,3.1679929775,False,20,20,1500,0.922
False,101.282340221,5.06411701107,False,20,30,1100,0.9295
False,59.9495284929,5.99495284929,False,10,30,1800,0.962
False,74.5149433156,3.72574716578,False,20,20,1600,0.934
False,61.499137763,6.1499137763,False,10,30,1900,0.963
False,103.764051104,5.18820255518,False,20,30,1200,0.951
False,70.3127382193,3.51563691097,False,20,20,1700,0.928
False,60.8437058338,6.08437058338,False,10,30,2000,0.941
False,62.2557721338,3.11278860669,False,20,20,1800,0.9315
False,108.915060718,5.44575303592,False,20,30,1300,0.942
False,79.4434903212,3.97217451606,False,20,20,1900,0.9525
False,118.36151412,5.91807570602,False,20,30,1400,0.9335
False,64.9362377364,3.24681188682,False,20,20,2000,0.94
False,104.223632041,5.21118160204,False,20,30,1500,0.945
False,111.700151025,5.58500755124,False,20,30,1600,0.951
False,102.626229442,5.13131147212,False,20,30,1700,0.942
False,109.374760791,5.46873803955,False,20,30,1800,0.937
False,112.945021529,5.64725107647,False,20,30,1900,0.954
False,94.8430228214,4.74215114107,False,20,30,2000,0.9425
True,1,0,False,10,0,100,0.855
True,1,0,False,20,0,100,0.8345
True,1,0,False,10,0,200,0.836
True,1,0,False,10,0,300,0.861
True,1,0,False,20,0,200,0.838
True,12.1580346428,1.21580346428,False,10,5,100,0.813
True,1,0,False,10,0,400,0.854
True,1,0,False,20,0,300,0.831
True,1,0,False,10,0,500,0.831
True,23.4272148909,1.17136074455,False,20,5,100,0.801
True,22.8548992523,2.28548992523,False,10,10,100,0.838
True,8.61332497954,0.861332497954,False,10,5,200,0.829
True,1,0,False,20,0,400,0.841
True,1,0,False,10,0,600,0.861
True,1,0,False,10,0,700,0.835
True,1,0,False,20,0,500,0.856
True,10.3479260349,1.03479260349,False,10,5,300,0.838
True,43.2109366325,2.16054683163,False,20,10,100,0.8075
True,1,0,False,10,0,800,0.864
True,42.388864273,4.2388864273,False,10,20,100,0.85
True,1,0,False,20,0,600,0.8355
True,24.9880524683,1.24940262341,False,20,5,200,0.8245
True,18.036758567,1.8036758567,False,10,10,200,0.819
True,1,0,False,10,0,900,0.877
True,12.2076902333,1.22076902333,False,10,5,400,0.838
True,1,0,False,20,0,700,0.826
True,1,0,False,10,0,1000,0.855
True,61.4703788237,6.14703788237,False,10,30,100,0.857
True,1,0,False,20,0,800,0.8345
True,12.8982899014,0.644914495069,False,20,5,300,0.822
True,1,0,False,10,0,1100,0.851
True,21.5829217189,2.15829217189,False,10,10,300,0.817
True,10.3479260349,1.03479260349,False,10,5,500,0.828
True,84.6274256889,4.23137128445,False,20,20,100,0.796
True,1,0,False,20,0,900,0.8585
True,49.3138862599,2.46569431299,False,20,10,200,0.8375
True,1,0,False,10,0,1200,0.858
True,35.6627572875,3.56627572875,False,10,20,200,0.855
True,9.71193726821,0.971193726821,False,10,5,600,0.871
True,1,0,False,20,0,1000,0.8475
True,1,0,False,10,0,1300,0.866
True,21.634264881,1.08171324405,False,20,5,400,0.8445
True,22.9318602935,2.29318602935,False,10,10,400,0.876
True,1,0,False,20,0,1100,0.8455
True,1,0,False,10,0,1400,0.862
True,11.4947404254,1.14947404254,False,10,5,700,0.853
True,131.4108513,6.57054256498,False,20,30,100,0.8095
True,1,0,False,10,0,1500,0.86
True,1,0,False,20,0,1200,0.849
True,17.4404019514,0.87202009757,False,20,5,500,0.8525
True,41.3435530778,2.06717765389,False,20,10,300,0.826
True,18.6742008223,1.86742008223,False,10,10,500,0.865
True,9.71193726821,0.971193726821,False,10,5,800,0.832
True,1,0,False,10,0,1600,0.847
True,54.0499079177,5.40499079177,False,10,30,200,0.868
True,1,0,False,20,0,1300,0.842
True,39.1319593983,3.91319593983,False,10,20,300,0.86
True,1,0,False,10,0,1700,0.845
True,11.0881812935,1.10881812935,False,10,5,900,0.849
True,1,0,False,20,0,1400,0.8485
True,24.6596733142,1.23298366571,False,20,5,600,0.8335
True,17.4504253907,1.74504253907,False,10,10,600,0.836
True,83.2097458851,4.16048729425,False,20,20,200,0.8365
True,1,0,False,10,0,1800,0.848
True,1,0,False,20,0,1500,0.8585
True,12.8709844507,1.28709844507,False,10,5,1000,0.844
True,44.011813809,2.20059069045,False,20,10,400,0.836
True,1,0,False,10,0,1900,0.864
True,22.2367387585,1.11183693793,False,20,5,700,0.8535
True,23.1650541806,2.31650541806,False,10,10,700,0.847
True,42.8032856931,4.28032856931,False,10,20,400,0.856
True,1,0,False,20,0,1600,0.8455
True,10.3479260349,1.03479260349,False,10,5,1100,0.845
True,1,0,False,10,0,2000,0.84
True,59.5142104217,5.95142104217,False,10,30,300,0.842
True,1,0,False,20,0,1700,0.847
True,15.9740648826,0.79870324413,False,20,5,800,0.835
True,10.2997239331,1.02997239331,False,10,5,1200,0.864
True,20.7944643585,2.07944643585,False,10,10,800,0.875
True,33.0364163712,1.65182081856,False,20,10,500,0.8345
True,1,0,False,20,0,1800,0.865
True,125.109374245,6.25546871225,False,20,30,200,0.82
True,12.7954768982,1.27954768982,False,10,5,1300,0.84
True,39.8449092061,3.98449092061,False,10,20,500,0.87
True,80.8919018833,4.04459509417,False,20,20,300,0.8325
True,20.7171267759,1.0358563388,False,20,5,900,0.842
True,1,0,False,20,0,1900,0.8555
True,22.122506282,2.2122506282,False,10,10,900,0.875
True,11.0608758428,1.10608758428,False,10,5,1400,0.891
True,41.0084270118,2.05042135059,False,20,10,600,0.851
True,1,0,False,20,0,2000,0.848
True,62.0869244279,6.20869244279,False,10,30,400,0.88
True,22.6853768816,1.13426884408,False,20,5,1000,0.849
True,21.1972592381,2.11972592381,False,10,10,1000,0.858
True,9.20111164444,0.920111164444,False,10,5,1500,0.814
True,37.3218507904,3.73218507904,False,10,20,600,0.866
True,25.4434375033,1.27217187517,False,20,5,1100,0.849
True,11.0112202523,1.10112202523,False,10,5,1600,0.837
True,23.3175227743,2.33175227743,False,10,10,1100,0.806
True,46.6239929822,2.33119964911,False,20,10,700,0.837
True,77.3529189548,3.86764594774,False,20,20,400,0.855
True,11.6472090191,1.16472090191,False,10,5,1700,0.858
True,44.9235492293,4.49235492293,False,10,20,700,0.866
True,16.2387574368,0.811937871841,False,20,5,1200,0.8335
True,60.2271602295,6.02271602295,False,10,30,500,0.843
True,22.0182397901,2.20182397901,False,10,10,1200,0.843
True,107.876378906,5.39381894531,False,20,30,300,0.8295
True,10.9357126998,1.09357126998,False,10,5,1800,0.847
True,41.6996267721,2.08498133861,False,20,10,800,0.8455
True,22.2500588104,1.11250294052,False,20,5,1300,0.857
True,19.8979762539,1.98979762539,False,10,10,1300,0.856
True,10.9357126998,1.09357126998,False,10,5,1900,0.871
True,43.6997737977,4.36997737977,False,10,20,800,0.845
True,69.2677957191,3.46338978596,False,20,20,500,0.848
True,42.3688234889,2.11844117444,False,20,10,900,0.851
True,10.2997239331,1.02997239331,False,10,5,2000,0.836
True,24.8163613234,1.24081806617,False,20,5,1400,0.85
True,22.1707083838,2.21707083838,False,10,10,1400,0.86
True,56.8076137092,5.68076137092,False,10,30,600,0.838
True,41.5313081597,4.15313081597,False,10,20,900,0.865
True,16.3141632677,0.815708163385,False,20,5,1500,0.841
True,17.4022232889,1.74022232889,False,10,10,1500,0.86
True,41.3993641635,2.06996820818,False,20,10,1000,0.843
True,107.514030519,5.37570152593,False,20,30,400,0.8365
True,16.8525135649,0.842625678243,False,20,5,1600,0.845
True,17.5259329432,1.75259329432,False,10,10,1600,0.862
True,80.0392593928,4.00196296964,False,20,20,600,0.849
True,64.1589858623,6.41589858623,False,10,30,700,0.848
True,41.3672130255,4.13672130255,False,10,20,1000,0.817
True,39.1664215036,1.95832107518,False,20,10,1100,0.8335
True,16.8249888915,0.841249444573,False,20,5,1700,0.846
True,20.9469329522,2.09469329522,False,10,10,1700,0.853
True,41.4255881792,4.14255881792,False,10,20,1100,0.862
True,9.83710041116,0.491855020558,False,20,5,1800,0.8655
True,21.5074141664,2.15074141664,False,10,10,1800,0.869
True,35.334187784,1.7667093892,False,20,10,1200,0.839
True,60.1984012902,6.01984012902,False,10,30,800,0.869
True,79.0069875367,3.95034937684,False,20,20,700,0.83
True,103.122901968,5.15614509842,False,20,30,500,0.838
True,16.4058115215,0.820290576074,False,20,5,1900,0.856
True,20.4088018777,2.04088018777,False,10,10,1900,0.88
True,42.601161509,4.2601161509,False,10,20,1200,0.888
True,43.9296610662,2.19648305331,False,20,10,1300,0.863
True,17.5018223834,0.875091119171,False,20,5,2000,0.836
True,61.5278967023,6.15278967023,False,10,30,900,0.871
True,19.0886222425,1.90886222425,False,10,10,2000,0.864
True,81.1410448805,4.05705224403,False,20,20,800,0.845
True,37.4470139333,3.74470139333,False,10,20,1300,0.873
True,39.6876132028,1.98438066014,False,20,10,1400,0.8255
True,112.549046231,5.62745231155,False,20,30,600,0.8455
True,60.0630650953,6.00630650953,False,10,30,1000,0.848
True,42.726324652,4.2726324652,False,10,20,1400,0.848
True,35.1745914089,1.75872957045,False,20,10,1500,0.8395
True,82.815789662,4.1407894831,False,20,20,900,0.85
